Nome do Cidadão;Dias para Resposta;Pedido;Status do Pedido;Identidade de gênero;Cor;Estado 
Cidadão 24;515;Gostaria de solicitar, com base na Lei de Acesso à Informação, dados relacionados aos petroleiros que atuam no Norte do Rio de Janeiro, de acordo com os seguintes critérios.  Quantos profissionais de exploração de óleo e gás (offshore e onshore) que atuam no Norte Fluminense tiveram casos confirmados de Coronavírus? Qual o quantitativo de cada cidade onde são residentes?  Quantos profissionais de exploração de óleo e gás (offshore e onshore) que atuam no Norte Fluminense têm casos de Coronavírus em investigação? Qual o quantitativo de cada cidade onde são residentes?  Quantos profissionais do setor offshore que atuam na Bacia de Campos tiveram casos confirmados de Coronavírus? Qual o quantitativo de cada cidade onde são residentes?  Quantos profissionais do setor offshore que atuam no Norte Fluminense têm casos de Coronavírus em investigação? Qual o quantitativo de cada cidade onde são residentes?  Quais plataformas da Bacia de Campos foram ou serão desativadas e/ou hibernadas por conta da crise do Coronavírus? Qual o prazo para todas elas serem desativadas/hibernadas?   Do total de plataformas desativadas/hibernadas, qual foi a produção gerada em 2019? Desse total de produção, quanto de royalties e participações especiais foram gerados a partir das respectivas plataformas em 2019? Do total de royalties gerados a partir das respectivas plataformas, quanto foi transferido para Campos e Macaé em 2019?  Quantos profissionais atuam em cada plataforma que foram ou serão desativadas e/ou hibernadas por conta da crise do Coronavírus?  Quantos profissionais que atuam nas plataformas desativadas/hibernadas serão realocadas?  Quantos profissionais que atuam no setor offshore e onshore da Bacia de Campos foram afastados por serem de grupos de risco? Qual o quantitativo de cada cidade onde são residentes?   Solicito ainda que, conforme o  Art. 8o, § 3o da LAI 12.527/2011, as informações ora requisitadas sejam enviadas em formato Excel ou similar formato eletrônico de planilha. ;Não se trata de solicitação de informação;Homem Cisgênero;Preta;Pernambuco (PE)
Cidadão 25;42;Solicitar salario maternidade;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;Rio Grande do Sul (RS)
Cidadão 26;34;FOI RESOLVIDO! PROTOCOLO DO PEDIDO: 99922.000237/2020-16;Acesso Concedido;Homem Cisgênero;Branca;Minas Gerais (MG)
Cidadão 27;57;Solicitação de informações desclassificadas pela Agência Brasileira de Inteligencia;Acesso Concedido;Homem Cisgênero;Branca;Minas Gerais (MG)
Cidadão 28;259;Sobre os documentos, busco identificar todas as pessoas que participaram do processo de elaboração até que esse fosse enviado ao Congresso Nacional. Nesse sentido, realizo os seguintes questionamentos: a. Houve constituição de comissões, Grupo de Trabalho do MD e de Grupo de Trabalho Interministerial?  b. Qual portaria (ou outro instrumento legal) de constituição dessas comissões e/ou grupos de trabalho? Solicito cópia dessa legislação. c. Houve registro das reuniões dessas comissões e/ou grupos? Solicito cópia de documentos de registro das mesmas, caso existam (atas de reuniões, relatórios, documentos internos, entre outros que ajudem a identificar os participantes). d. Houve consulta formal a não integrantes do MD? Solicito cópia desses documentos, se for o caso. e. Após tramitação no MD, o documento foi enviado para onde? Congresso Nacional, Presidência da República? Solicito cópia dos documentos de remessa, se for o caso. Muito Obrigado! ;Acesso Concedido;Homem Cisgênero;Branca;Paraíba (PB)
Cidadão 29;73;Prezado (a), quero obter os dados de desmatamento de todo o país, por estado e por bioma. Período: janeiro a 16 de abril deste ano e mesmo período do ano passado. Dados devem vir discriminados mês a mês.;Não se trata de solicitação de informação;Mulher Cisgênero;Preta;Minas Gerais (MG)
Cidadão 1;166;Boa Tarde.  Gostaria de ter informações de como funciona e como faz para pedir o prolongamento do visto de turismo por mais 90 dias.  Meu namorado ele é Frances e esta comigo no Rio de janeiro com o visto de turismo e o voo dele foi cancelado e o visto vence no mês de maio. Com o covid 19 tudo fica muito incerto de quando vai ter voo novamente pois já remarcamos e a companhia aérea cancelou.  Se não conseguir um voo antes do prazo do vencimento do visto, queríamos saber como faz para prorrogar o visto por mais 90 dias e se ele tem esse direito.  Agradecida ;Acesso Concedido;Homem Cisgênero;Branca;São Paulo (SP)
Cidadão 2;76;Boa tarde, Gostaria de saber se a empresa cujo CNPJ é 30.024.311/0001- 51, S S C T AGENCIAMENTO DE NEGÓCIOS LTDA, está autorizada a vender títulos de capitalização na cidade de Chapecó - SC. Respeitosamente;Acesso Parcialmente Concedido;Mulher Cisgênero;Branca;Pernambuco (PE)
Cidadão 32;74;Prezados, boa tarde.  Gostaria, por gentileza, de uma cópia da Sistemática de Desinvestimentos elaborada pela Petrobrás.  Muito Obrigado,  Att.,  Victor Nogueira;Acesso Concedido;Homem Cisgênero;Preta;Piauí (PI)
Cidadão 33;218;"Prezados,   Agradeço, em primeiro lugar, pela disponibilização dos dados solicitados.  Solicito algumas informações adicionais:  - Há definição documentada pela CGU do que constituem falhas formais, falhas médias e falhas graves? Não encontrei normativo específico no site,  - Estão presentes na planilha o total de municípios sorteados por ano? Pergunto porque, na coluna ""Tipo_constatacao"", não há casos de municípios/ordem de serviço auditados em que não foi verificada qualquer tipo de falha. Poderiam disponibilizar uma extração que inclua dados de municípios sem irregularidades? - É possível incluir as datas de cada sorteio, bem como de início e fim da auditoria?    Agradeço mais uma vez pela atenção.   ";Acesso Concedido;Homem Cisgênero;Branca;Paraíba (PB)
Cidadão 34;342;Boa tarde, Equipe do Ministério da Saúde! Sou coordenadora de advocacy da ADJ Diabetes Brasil, que congrega 35 associações de diabetes, representando os 13,4 milhões de brasileiros com a condição. Hoje percebi no Diário Oficial que as reuniões da Conitec foram suspensas durante 60 dias. Então gostaria de saber algumas informações importantes em cima do Boletim Epidemiológico Diário emitido por vocês no dia de ontem. No gráfico: Óbitos por Covid divididos por grupo de risco mostra que diabetes e cardiopatias são os principais responsáveis pelos altos índices. Pensando nisso, gostaria de indagar algumas questões. 1 – Há dois medicamentos que já foram incorporados e estão para serem disponibilizados no SUS, que ajudam a controlar o diabetes (insulina análoga de ação lenta) para pessoas com diabetes tipo 1 e o Entresto para ajudar a diminuir o risco de morte em pessoas que tenham a insuficiência cardíaca, além de reduzir a taxa de hospitalização. Assim, gostaria de saber se não é interessante disponibilizar o quanto antes estes medicamentos no SUS para ajudar as pessoas a não terem mais complicações, se contraírem o COVID? 2 – Quando vocês devem realizar o processo de pregão destes medicamentos?  3 - Quando eles estarão disponíveis no SUS?  Aguardo retorno,  Att,  Vanessa Pirolo;Informação Inexistente;Homem Cisgênero;Parda;São Paulo (SP)
Cidadão 35;232;Somos da ECC COMERCIO E LICITACOES EIRELI (CNPJ 27.293.468/0001-78), que forneceu Bomba Centrífuga ao INSTITUTO FEDERAL DO ES – CAMPUS PIUMA e através da NF 619 e empenho 2019NE800407 não recebeu o pagamento na integralidade, restando inadimplindo o valor total de R$ 2.419,91. Diante desse quadro, solicitamos as seguintes informações: 1. O INSTITUTO FEDERAL DO ES – CAMPUS PIUMA reconhece o crédito no valor de R$ 2.419,91? Em caso negativo, reconhece outro valor? 2. Há alguma pendência administrativa ser sanada nos processos de fatura das despesas? 3. As despesas do credor foram liquidadas? Em caso positivo, favor enviar notas de liquidação. 4. Há programações de desembolso pendentes de pagamento? Em caso positivo, favor enviar. 5. As despesas foram inscritas em Restos a Pagar? 6. Qual a previsão de pagamento do crédito? Aguardamos retorno. ;Acesso Concedido;Homem Cisgênero;Branca;Minas Gerais (MG)
Cidadão 36;62;Solicito planilha com dados do SCNES em relação ao quantitativo de ACE e ACS ATIVOS por municipio brasileiro no período de 2010 à 2018. ;Não se trata de solicitação de informação;Mulher Cisgênero;Parda;Minas Gerais (MG)
Cidadão 37;252;Somos da empresa ECC COMERCIO E LICITACOES EIRELI (CNPJ 27.293.468/0001-78) e com fundamento no Direito Constitucional de Acesso à Informação (artigo 5º, inc. XIV, da Constituição e Lei (12.527/2011), requeremos acesso, em até 20 dias corridos (artigo 11, parágrafo 1º da Lei 12.527/11), à lista atualizada com todas as ordens cronológicas de pagamentos da INSTITUTO FEDERAL DO ES – CAMPUS PIUMA, incluindo a ordem cronológica de pagamentos das despesas inscritas em restos a pagar e despesas de exercícios anteriores. Na eventualidade de as informações solicitadas não serem fornecidas, requeremos que seja apontada a razão da negativa, bem como, se for o caso, eventual grau de classificação de sigilo (ultrassecreto, secreto ou reservado), tudo nos termos do artigo 24, parágrafo 1º, da Lei 12.527/2011. Desde logo, agradecemos pela atenção e pedimos deferimento. ;Não se trata de solicitação de informação;Mulher Cisgênero;Amarela;Espírito Santo (ES)
Cidadão 18;58;Gostaríamos de receber em formato PDF somente os Anexos e Aditivos do contrato SAP N. 4600538686, assinados com a empresa HM ENGENHARIA.;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 19;36;Não consigo ter acesso ao meu INSS pelo portal;Acesso Concedido;Homem Cisgênero;Branca;São Paulo (SP)
Cidadão 27;370;Até o momento não tenho muitas informações sobre esses eventos.  - No site da FGV  https://portal.fgv.br/noticias/seminarios-divulgam-livro-branco-defesa-nacional  consta que a FGV teria contribuído na coordenação de 06 (seis) seminários, que teriam ocorrido no período de março a agosto de 2011 nas 5 regiões do país: Norte, Nordeste, Sul, Sudeste e Centro-Oeste.  - Além disso, tenho informações obtidas de uma dissertação de mestrado, onde consta o seguinte: 1º Seminário - O Estado Brasileiro e a Identidade Nacional 2º Seminário - O Ambiente Estratégico do Século XXI 3º Seminário - A Defesa e o Instrumento Militar 4º Seminário - A Sinergia entre a Defesa e a Sociedade 5º Seminário - A Transformação da Defesa 6º Seminário - O Financiamento da Defesa e o Processo de Aquisição  Busco identificar todas as pessoas que participaram desses eventos bem como temas abordados e, nesse sentido, realizo os seguintes questionamentos:  a. Em que locais esses eventos ocorreram? Há registro específico? Solicito cópia do documento, se houver.  b. Foram confeccionadas listas de presença? Solicito cópia desses documentos, se houver.  c. Há documentos de registro desses seminários (atas de reuniões, relatórios, documentos internos, filmagens, gravações, transcrições, entre outros que ajudem a identificar os participantes e temas debatidos)? Solicito cópia dos documentos existentes.   Muito Obrigado!;Acesso Concedido;Homem Cisgênero;Branca;Minas Gerais (MG)
Cidadão 28;126;Solicito informação sobre há existência de recomendação técnica, portaria ou instrumento equivalente do Ministério da Saúde que verse sobre a não realização de consultas eletivas em Estados e Município brasileiros durante o período quarentena relacionada ao coronavírus, em especial de pacientes que não estejam em grupos de risco e/ou em Município onde não existe nenhum caso confirmado da doença.;Acesso Concedido;Homem Cisgênero;Branca;Paraíba (PB)
Cidadão 42;68;Gostaríamos de receber uma cópia do Edital / processo 7001340225 que deu origem aos contratos SAP 4600476479 4600476480 4600477377 assinados com a empresa JOHNSON CONTROLS BE DO BRASIL LTDA.;Não se trata de solicitação de informação;Mulher Cisgênero;Parda;São Paulo (SP)
Cidadão 43;250;Olá, boa tarde! Estou de várias formas tentando receber ou retirar o histórico de conclusão do ensino médio na escola E E monsenhor João Alves, na cidade de Taubaté, como não resido mais na cidade e não é próximo pra mim, tentei contatos peo 0809 da secretaria da educação que me deixou em linha quase 15 minutos para ser atendida, no fim desliguei pra não ter que aguardar mais ainda, tentei contato por e-mail pelo qual ainda não fui atendida, tentei pelo site da Gdaenet que de fato não ajudou em nada, pois pediu todos meus dados, ofereci e na filha de impressão não contém NADA, e por fim no telefone fixo da escola, que é até compreensível que esteja fechada devido ao corona vírus, eu preciso com extrema urgência do histórico pois este documento é necessário para minha contratação em um novo emprego, vocês poderiam me ajudar? Abaixo vou encaminhar alguns prints das tentativas que fiz e não consegui pelo acesso 0800 e pelo site do gov!;Acesso Parcialmente Concedido;Mulher Cisgênero;Branca;Mato Grosso do Sul (MS)
Cidadão 44;74;O site da Receita não disponibiliza o serviço, e o atendimento pessoal está reduzido e não consigo obter o código do recibo da Declaração IRPF 2017/2018, e com isso nao consigo retificar minha Declaração 2018/2019.;Não se trata de solicitação de informação;Homem Cisgênero;Parda;Minas Gerais (MG)
Cidadão 45;171;Diversos meios de comunicação noticiaram que a EMBRAPA realizará milhares de testes RT-PCR para Covid-19 diariamente. Gostaria de saber se os reagentes usados nos testes estão sendo comprados diretamente pela EMBRAPA e, neste caso, qual o contato do setor responsável pelas compras. Salientamos que as compras de tais itens estão dispensadas de licitação e gostaríamos de fornecer o referido produto. Caso os reagentes não estejam sendo adquiridos pela EMBRAPA, mas fornecidos a ela por órgãos da administração pública, gostariamos de saber a fonte de tal fornecimento para a EMBRAPA. Obrigado,;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 46;66;Gostaria que fossem confirmados os saldos inativos dos contratos SAP N. 4600476479, 4600476480 e 4600477377 assinados pelo ICJ 0020.0095815.15.2 com a empresa JOHNSON CONTROLS BE DO BRASIL LTDA.;Acesso Concedido;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 1;85;"Gostaria de saber o procedimento para eu, que sou advogado, ingressar com recurso ordinário no INSS para meu cliente. Não sei se posso fazer através do meu login e senha no ""MEU INSS"" ou tem outra forma de ingressar com este recurso. ";Acesso Concedido;Homem Cisgênero;Branca;São Paulo (SP)
Cidadão 2;192;Estou desempregada a 1 ano e 8 meses e tentei me cadastrar para receber o auxílio emergencial. Durante essa tentativa descobrir que já possuo CAD único ( não tinha conhecimento e por isso nunca atualizei) que está desatualizado. ( Última atualização 2017) . Em 2017 eu estava trabalhando com atenda informada no sistema, mas em Agosto de 2018 fui desligada das atividades profissionais e até o momento não consegui me reenquadrar no campo profissional. Tentei atualizar o meu cadastro no entanto o CRAS do município informou que o serviço está suspenso. Como devo proceder para ter acesso ao benefício??;Acesso Parcialmente Concedido;Mulher Cisgênero;Branca;Pernambuco (PE)
Cidadão 3;188;Solicito acesso a íntegra do processo original no SEI, gerado pela chefia imediata do Laboratório de Patologia Central do HUGG ( Mauricea Romero), o qual gerou como resposta os processos: 23819.001349/2020-00 SEI Nº 5958286 e 23819.001349/2020-00 SEI Nº 5985276. No sistema, o processo que dá origem a tais respostas supracitadas não é mais encontrado. Solicito acesso a íntegra do processo original, assim como a todos os processos de resposta interpolados e associados a esses processos. Favor enviar íntegra dos processos, e/ou plataforma para acesso do texto em íntegra do processo original e da íntegra de todas as respostas interpoladas a esse processo até a data de 16/04/2020.;Acesso Concedido;Homem Cisgênero;Branca;Paraíba (PB)
Cidadão 4;52;Poderia por favor me enviar o levantamento de preços dos postos de Paranaguá de 2019 até 16/04/2020.;Acesso Negado;Mulher Cisgênero;Parda;Minas Gerais (MG)
Cidadão 5;156;Prezados,  Estou solicitando informações sobre o contrato de nº 4600572210, entre MÓDULO SECURITY e Petrobras,o qual, segundo informações do próprio site da Petrobras, consta como ativo. Gostaria de informações sobre: Se o contrato continua tendo o serviço prestado,  Se sim, quais foram os últimos repasses feitos a tal empresa, e/ou se existem repasses de valores que estão aguardando para serem pagos.  Para facilitar, encaminho em anexo reprodução (print) da página pertinente, com a indicação dos contratos e qualificação das partes.  At.te Francisco Rodrigo Silva;Acesso Concedido;Homem Cisgênero;Parda;Pernambuco (PE)
Cidadão 52;65;Gostaríamos de receber em formato PDF o contrato SAP N. 4600489374, juntamente com todos seus Anexos (atenção para Anexo II) e Aditivos, assinados com a empresa BALTAZAR CONSTRUCOES E MONTAGENS.;Não se trata de solicitação de informação;Mulher Cisgênero;Parda;Rio Grande do Norte (RN)
Cidadão 53;119;Prezados, Gostaria de renovar meu pedido de vista e acesso integral aos autos dos processos nº 02063.000038/2010-53 e 02063000039/2010-06 (Interessado: Valor Ambiental) via SEI, nos termos do art. 4º da Instrução Normativa Conjunta nº 2, de 29 de Janeiro de 2020 e art. 7º, XIII da lei 8.906/1994 (Estatuto da Advocacia e a Ordem dos Advogados do Brasil), a fim de eventualmente efetuar a defesa do interessado. ;Pergunta Duplicada/Repetida;Homem Cisgênero;Pardo;Bahia (BA)
Cidadão 54;185;Estou cadastrando, novamente, uma solicitação de registro de uma empresa de fertilizantes (00026894/2020). Anteriormente, em 2018, foi realizada a solicitação 00023703/2018, que obteve um parecer Indeferido. Pelo nosso entendimento, o indeferimento do pedido foi em relação a aba Controle de Qualidade. O manual está com um conteúdo bem superficial em relação a esta parte do processo. O que não nos ajudou muito. Gostaria de tirar dúvida de quais são as necessidades desta parte, o que poderá causar indeferimento no processo. E quais informações complementares poderemos adicionar além da quantidade das análises que são realizadas.;Acesso Negado;Homem Cisgênero;Parda;São Paulo (SP)
Cidadão 36;221;Prezados,  Estou solicitando informações sobre o contrato de nº 4600560976, entre PETROPUMP SERVIÇOS LTDA. e Petrobras,o qual, segundo informações do próprio site da Petrobras, consta como ativo. Gostaria de informações sobre: Se o contrato continua tendo o serviço prestado,  Se sim, quais foram os últimos repasses feitos a tal empresa, e/ou se existem repasses de valores que estão aguardando para serem pagos.  Ainda, na condição de representante de credor da empresa, gostaria de saber se existe bloqueio judicial ativo em face do faturamento da empresa PETROPUMP. Seja em razão deste ou de outros contratos. Para facilitar, encaminho em anexo reprodução (print) da página pertinente, com a indicação dos contratos e qualificação das partes.  At.te Francisco Rodrigo Silva;Não se trata de solicitação de informação;Mulher Cisgênero;Parda;Minas Gerais (MG)
Cidadão 37;123;Gostaria de pedir acesso aos processos 48500.004341/2006 sobre a Segunda revisão tarifária periódica da concessionária de distribuição de energia elétrica CEPISA e 48500.000229/2013 Revisão tarifária da Eletrobrás Distribuição Piauí - CEPISA, relativa ao Terceiro Ciclo de Revisões Tarifárias Periódicas - 3CRTP das concessionárias de distribuição de energia elétrica.;Não se trata de solicitação de informação;Mulher Cisgênero;Amarela;Espírito Santo (ES)
Cidadão 18;228;"Solicito ao INSS informações referentes ao andamento das apurações relativas à conduta já relatada à esta ouvidoria e à própria Gerência do INSS, inclusive por intermédio da Polícia Federal, da servidora NEIDE DE CARVALHO RIBEIRO, da Agência Santa Efigênia, em Belo Horizonte/MG, na data de 07/02/2020. Na qualidade de interessado e nos termos do Art. 7°, XV, da Lei n° 8,906/1994 (Estatuto da Advocacia e da OAB), que dispõe ser direito do advogado ""ter vista dos processos judiciais ou administrativos de qualquer natureza, em cartório ou na repartição competente, ou retirá-los pelos prazos legais"", solicito a vista do procedimento, sindicância ou processo administrativo instaurados. Em caso de negativa, solicito a emissão de certidão, nos termos da Lei n° 9.051/1995 e do Art. 5, inc. XXXIV, ""b"" da Constituição da República de 1988.";Não se trata de solicitação de informação;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 19;89;A UFPI está sem Conselho Diretor desde 2019. A instituição já enviou os nomes para o MEC fazer a portaria , mas até agora nada foi feito. Com isso, apesar do reitor está assinando Ad Hoc, muitas questões ficam comprometidas. Gostaria de saber como o MEC está agilizando a publicação desta portaria. At.te.;Acesso Concedido;Homem Cisgênero;Branca;São Paulo (SP)
Cidadão 27;39;Extrato imposto de renda 2019;Acesso Concedido;Homem Cisgênero;Branca;Minas Gerais (MG)
Cidadão 28;119;Fiz meu pedido dia 09, e levaria 5 dias, mas depois foi mudado para calendário aniversário, que seria hoje, quinta feira dia 16/04/2020, mas meu app continua em análise, preciso de uma informação concreta, espero que seje com vcs, pois tento ligar no 111 mas só da ocupado então liguei no 158, e da só ocupado também, espero que vcs possam me ajudar. Obrigado pela atenção. Aguardo retorno. Att: Renata.;Acesso Concedido;Homem Cisgênero;Branca;Paraíba (PB)
Cidadão 61;215;QUE AS PARCELAS REF. AOS MESES DE MARÇO, ABRIL, MAIO OU ENQUANTO DURAR ESSA PANDEMIA COVID 19 SEJAM PAGAS NO FINAL, OU SEJA, FIZ O EMPRÉSTIMO EM OITO VEZES COMEÇANDO EM MARÇO E TERMINANDO EM OUTUBRO.  ENTÃO IREI PAGAR EM NOVEMBRO, DEZEMBRO E JANEIRO NO MESMO VALOR QUE ESTÁ AGORA. POIS SE ATÉ OS BANCOS PARTICULARES ESTÃO AJUDANDO A POPULAÇÃO PORQUE NÃO O BANCO DO NORDESTE QUE FAZ UM CREDITO AMIGO PARA NOS AJUDAR. AQUI TEMOS UMA LOJA POPULAR QUE DESDE MARÇO ESTÁ FECHADA NÃO ESTOU VENDENDO NEM UMA PEÇA DE 10,00 REAIS, TEM OUTRA PESSOA DO GRUPO QUE VENDE NATURA,  COMO VAI VENDER SE NINGUÉM RECEBE NEM A PESSOA EM CASA. PORTANTO ESTOU SOLICITANDO QUE FIQUE PARA A GENTE PAGAR NO FINAL MAS SEM NENHUMA ALTERAÇÃO, ISTO É, COM O MESMO VALOR POIS SÓ ASSIM ESTARÁ NOS AJUDANDO.;Não se trata de solicitação de informação;Mulher Cisgênero;Amarela;Pernambuco (PE)
Cidadão 18;73;Prezados,  Gostaria de solicitar acesso ao processo 48513.009642/2020. Parte interessada:TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A. Atenciosamente,  Thaysa Bezerra ;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;São Paulo (SP)
Cidadão 19;95;Preciso resetar o cadastro do auxilio emergencial. Alguém, terceiro mal intencionado, utilizou o meu cpf e do meu filho, e agora não conseguimos alterar dados, resetar o cadastro... QUando pedimos o código, vai pro telefone do bandido que fez isso, preciso de ajuda urgente!;Acesso Concedido;Homem Cisgênero;Branca;São Paulo (SP)
Cidadão 64;156;Gostaríamos de obter informações  sobre os procedimentos para a realização do registro do vegetal para fins de importação da Indonésia e posterior licenciamento da plantação com fins exclusivos de reexportação para os Estados Unidos junto à Coordenação-Geral de Fiscalização e Cerficação Fitossanitária Internacional.  Porém, pelo sistema, não aparece o redirecionamento da pergunta a referida coordenação.  Caso não seja este o meio, solicito informações de como proceder a pesquisa, vez que a pandemia do COVID-19 impede o protocolo físico. Desde já agradeço ;Acesso Concedido;Mulher Cisgênero;Preta;Amapá (AP)
Cidadão 65;115;Sou aluna do curso de pós-graduação de Projetos Sociais e Políticas Públicas do SENAC. Estou desenvolvendo um trabalho e preciso obter informações sobre a avaliação e o monitoramento do Plano Estadual de Cultura de Minas Gerais, n. 22.627, de 31 de julho de 2017. É possível acessar estes dados? Se sim, como devo proceder?;Acesso Concedido;Homem Cisgênero;Amarela;São Paulo (SP)
Cidadão 66;350;"Desta forma, para dar andamento ao processo 1021031766 do INSS solicitamos o envio dos seguintes documentos:  -Consta inscrição como autônomo/mecânico de automóveis aberta em 01/05/1981 e sem data fim em seu cadastro CNIS e não foram recolhidas contribuições. Conforme art. 444 e seu §único, ""A CTC deverá ser emitida somente para os períodos de efetiva contribuição para o RGPS, observado o disposto no § 1º do art. 128 do RPS, devendo ser desconsiderados aqueles períodos para os quais não houver contribuição. No caso de atividades concomitantes, quando o segurado estiver em débito em uma delas, não será devida a emissão da CTC para o período que abranger o débito, em nenhuma das atividades, ainda que uma esteja regular"". Sendo assim, consta débito com a previdência de maio de 1981 até a data de hoje, uma vez que a atividade de autônomo/mecânico de automóveis consta em aberto, e todo o período de empregado correspondente ao período de débito acima citado não poderá ser certificado. Para a emissão desta CTC será necessário que o requerente acerte seu débito ou apresente declaração de próprio punho informando o período correto trabalhado na categoria acima descrita, para que possa ser fechada a atividade no sistema.  Portanto, dado ao lapso de tempo, cerca de 39 anos, não consegui achar o número do CNPJ em questão para que possa regularizá-lo.";Não se trata de solicitação de informação;Homem transgênero;Branca;Alagoas (AL)
Cidadão 67;142;Por gentileza, solicito o nome das escolas visitadas no Terceiro Ciclo de Fiscalizações de Entes Federativos, realizado por essa controladoria, em 2016. Nos relatórios dos municípios de Campina Grande - PB, Ilhéus - BA, Ulianópolis - PA, Barueri - SP, Governador Celso Ramos - SC e Rio Negro - PR, não constam os nomes das escolas visitadas pelos auditores, porém, há menção de que houve visita in locu, mas não especifica quais as escolas. ;Pergunta Duplicada/Repetida;Homem Cisgênero;Amarela;Pernambuco (PE)
Cidadão 68;221;Venho por meio deste, solicitar a PROGRAD/COSEAC - Coordenadoria de seleção, que disponibilize links ativos para acessar TODO o conteúdo dos seguintes concursos públicos (esta solicitação se faz por conta que no site da COSEAC, ao clicar nos links dos referidos concursos abaixo não é direcionado para os conteúdos): MDA - Ministério do Desenvolvimento Agrário. ANCINE - Agência Nacional do Cinema CODESA - Companhia Docas do Espírito Santo Concurso para a Prefeitura Municipal de São Gonçalo Instituto de Previdência e Assistência dos Servidores Municipais de São Gonçalo - IPASG Prefeitura Municipal de Aracaju - Agente JUCEES - Junta Comercial do Estado do Espírito Santo DATAPREV - Empresa de Tecnologia e Informações da Previdência Social RENASCER - Fundação Renascer do Estado de Sergipe Prefeitura Municipal de Cachoeiras do Macacu - 2000;Acesso Negado;Homem Cisgênero;Preta;Paraíba (PB)
Cidadão 69;77;como faço para cancelar o cadastro de acordo empregador e empregado emergencial. foi realizado o cadastro no site mas o colaborador nao assinou ;Pergunta Duplicada/Repetida;Mulher transgênero;Parda;Espírito Santo (ES)
Cidadão 70;60;Precisamo montar um plano de atendimento para interligação de cidades no estado de Goias entre as redes das concessionárias CELG e CHESP;Órgão não tem competência para responder sobre o assunto;Mulher Cisgênero;Preta;Pernambuco (PE)
Cidadão 71;46;  Peço a localização e tamanho das propriedades da Aeronáutica no município do Rio de Janeiro.;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;Ceará (CE)
Cidadão 72;34; Peço a localização e tamanho das propriedades da Marinha no município do Rio de Janeiro.;Acesso Concedido;Mulher Cisgênero;Parda;Maranhão (MA)
Cidadão 73;57;Prezados,  Solicito cópia do Processo Administrativo nº 54200.000395/2010-01, que apresenta como interessada a Superintendência Regional do INCRA do Estado do Paraná.  Atenciosamente,;Acesso Concedido;Mulher Cisgênero;Preta;Pernambuco (PE)
Cidadão 66;201;Boa tarde,   tudo bem?  Existe alguma expectativa de concurso para 2020? Ou nos seguintes anos?  Gostaria de saber sobre este andamento, como faço para acessar? Existe algum número de protocolo? Por exemplo no SEI ou outro local.  Da Polícia Federal :Quais os cargos e vagas?   E devido a situação atual, o concurso poderá prorrogar para o primeiro semestre de 2021 ? Ou permanece neste ano vigente? Nos protocolos de nº: 08200.004231/2019-66, 08200.005366/2019-49, 08200.003925/2019-86 e 082000024802020-51 falam do mesmo concurso? Ou distintos? Quais? Posso ter acesso? Em qual sistema posso acompanhar?  Como faço para ter acesso ao Processo ? Projeto de Básico do concurso?.  Desde já agradeço pela atenção.  Drielly Cristina Taborda RG: 10.350.810-0 PR;Acesso Concedido;Homem transgênero;Branca;Alagoas (AL)
Cidadão 67;61;A imagem do processo 48500.004238/2009-46 está corrompida e não acessível pelo e-sic. Poderia disponibilizar?;Acesso Concedido;Homem Cisgênero;Amarela;Pernambuco (PE)
Cidadão 1;103;Boa tarde. Como faço para saber se tenho um seguro em meu nome? Por vezes pagamos e nem sabemos. É para saber se tenho algum seguro de invalidez. Como faço para requerer um formulário para a SUSEP me informar? O que precisa? Quais documentos? Obrigado e no aguardo. ;Acesso Concedido;Homem Cisgênero;Branca;São Paulo (SP)
Cidadão 2;101;Boa tarde. Preciso de acesso ao seguinte processo, especialmente quanto aos documentos emitidos pelo MEC, relativos à pedido de concessão/renovação de CEBAS:  Processo nº: 23000.009570/2012-11 - Nota Técnica 878/2017 - Parecer nº 01463/2018/CONJUR-MEC/CGU/AGU, de 26 de outubro de 2018.  Obrigado.  ;Acesso Parcialmente Concedido;Mulher Cisgênero;Branca;Pernambuco (PE)
Cidadão 70;52;Boa tarde. Com procuração da empresa é possível pedir lista de seguros de vida em nome dos funcionários? A empresa não sabe se possui.;Acesso Negado;Mulher Cisgênero;Preta;Pernambuco (PE)
Cidadão 71;153;Prezados,  Estou construindo a dissertação para a pós graduação que estou fazendo em GEOMARKETING E INTELIGÊNCIA DE MERCADO e gostaria de traçar o mapa dos custos com serviço de dados, os tipos de produtos contrataods, velocidades e os municípios que o órgão possui rede( os municípios são importantes para identificar o interesse de tráfego entre os órgãos e os pontos de troca de tráfegos nacionais mantidos pelo NIC.BR). Certo de poder contar com sua ajuda desde já agradeço.;Não se trata de solicitação de informação;Mulher Cisgênero;Branca;Ceará (CE)
